"@timestamp",stream,message
"2022-03-04 13:00:04.155",stdout,"+-----------------------------+--------------------------------------------------------------------------+
"
"2022-03-04 13:00:04.155",stdout,"| Variable_name               | Value                                                                    |
"
"2022-03-04 13:00:04.155",stdout,"| disk_mapped_doclists        | 0                                                                        |
"
"2022-03-04 13:00:04.155",stdout,"| found_rows_1min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:00:04.155",stdout,"| query_time_1min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:00:04.155",stdout,"| indexed_bytes               | 6374280258                                                               |
"
"2022-03-04 13:00:04.155",stdout,"| killed_rate                 | 7.10%                                                                    |
"
"2022-03-04 13:00:04.155",stdout,"| mem_limit_rate              | 95.00%                                                                   |
"
"2022-03-04 13:00:04.155",stdout,"| tid                         | 43575                                                                    |
"
"2022-03-04 13:00:04.155",stdout,"| found_rows_15min            | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:00:04.155",stdout,"| disk_bytes                  | 131813490                                                                |
"
"2022-03-04 13:00:04.155",stdout,"| disk_mapped_cached_hitlists | 0                                                                        |
"
"2022-03-04 13:00:04.155",stdout,"| found_rows_5min             | {""queries"":0, ""avg"":""-"", ""min"":""-"", ""max"":""-"", ""pct95"":""-"", ""pct99"":""-""} |
"
"2022-03-04 13:00:04.155",stdout,"| mem_limit                   | 134217728                                                                |
"
"2022-03-04 13:00:04.155",stdout,"| index_type                  | rt                                                                       |
"
"2022-03-04 13:00:04.155",stdout,"| indexed_documents           | 2673                                                                     |
"
"2022-03-04 13:00:04.155",stdout,"| disk_mapped_cached          | 24576                                                                    |
"
"2022-03-04 13:00:04.155",stdout,"| killed_documents            | 190                                                                      |
"
"2022-03-04 13:00:04.155",stdout,"+-----------------------------+--------------------------------------------------------------------------+
"
"2022-03-04 13:00:04.155",stdout,"| ram_bytes                   | 73424514                                                                 |
"
"2022-03-04 13:00:04.155",stdout,"| disk_mapped_hitlists        | 0                                                                        |
"
"2022-03-04 13:00:04.155",stdout,"| disk_chunks                 | 1                                                                        |
"
"2022-03-04 13:00:04.155",stdout,"| ram_chunk                   | 73393450                                                                 |
"
"2022-03-04 13:00:04.159",stdout,"Arena 9:
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =       5232
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     139264
"
"2022-03-04 13:00:04.159",stdout,"Arena 5:
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     135168
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =  302104576
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =       4864
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     143360
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     143360
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     135168
"
"2022-03-04 13:00:04.159",stdout,"Arena 3:
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     135168
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =       3744
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =       2864
"
"2022-03-04 13:00:04.159",stdout,"Arena 0:
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =   29893664
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =   17297408
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =     236304
"
"2022-03-04 13:00:04.159",stdout,"in use bytes     =       3568
"
"2022-03-04 13:00:04.159",stdout,"system bytes     =     802816
"
